"_raw","_time","category{}.id","category{}.name",description,eventtype,field1,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field2,field20,field21,field3,field4,field5,field6,field7,field8,field9,host,image,index,linecount,manufacturer,model,name,price,punct,shipping,sku,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timestamp,type,upc,url
"{""sku"":1242824,""name"":""Sharp - 43\"" Class (42.6\"" Diag.) - LED - 1080p - Smart - HDTV Roku TV - Black"",""type"":""HardGood"",""price"":319.99,""upc"":""600603185397"",""category"":[{""id"":""abcat0100000"",""name"":""TV & Home Theater""},{""id"":""abcat0101000"",""name"":""TVs""},{""id"":""abcat0101001"",""name"":""All Flat-Panel TVs""}],""shipping"":0,""description"":""Only at Best Buy1080p resolution60Hz refresh rateRoku smart platform"",""manufacturer"":""Sharp"",""model"":""LC-43LB371U"",""url"":""http://www.bestbuy.com/site/sharp-43-class-42-6-diag--led-1080p-smart-hdtv-roku-tv-black/1242824.p?id=1219481184396&skuId=1242824&cmp=RMXCC"",""image"":""http://img.bbystatic.com/BestBuy_US/images/pac/products/1313/1313484259/1313484259_sa.jpg""}","2017-11-15T23:08:24.000+0000","abcat0100000
abcat0101000
abcat0101001","TV & Home Theater
TVs
All Flat-Panel TVs","Only at Best Buy1080p resolution60Hz refresh rateRoku smart platform",,"{""sku""","abcat0101000"",""name","TVs""},{""id","abcat0101001"",""name","All Flat-Panel TVs""}],""shipping","0,""description""","Only at Best Buy1080p resolution60Hz refresh rateRoku smart platform"",""manufacturer","Sharp"",""model","LC-43LB371U"",""url","http://www.bestbuy.com/site/sharp-43-class-42-6-diag--led-1080p-smart-hdtv-roku-tv-black/1242824.p?id=1219481184396&skuId=1242824&cmp=RMXCC"",""image","""http://img.bbystatic.com/BestBuy_US/images/pac/products/1313/1313484259/1313484259_sa.jpg""}","1242824,""name""",,,"Sharp - 43"" Class (42.6"" Diag.) - LED - 1080p - Smart - HDTV Roku TV - Black"",""type","HardGood"",""price","319.99,""upc""","600603185397"",""category","[{""id""","abcat0100000"",""name","TV & Home Theater""},{""id","prd-p-3kt6px5jvk2t","http://img.bbystatic.com/BestBuy_US/images/pac/products/1313/1313484259/1313484259_sa.jpg",main,1,Sharp,"LC-43LB371U","Sharp - 43"" Class (42.6"" Diag.) - LED - 1080p - Smart - HDTV Roku TV - Black","319.99","{"""":,"""":""_-_\""__(.\""_.)_-__-__-__-____-_"","""":"""",""""",0,1242824,"products.json","_json","prd-p-3kt6px5jvk2t",,,,none,HardGood,600603185397,"http://www.bestbuy.com/site/sharp-43-class-42-6-diag--led-1080p-smart-hdtv-roku-tv-black/1242824.p?id=1219481184396&skuId=1242824&cmp=RMXCC"
"{""sku"":1242815,""name"":""Insignia™ - 32\"" Class (31.5\"" Diag.) - LED - 1080p - Smart - HDTV Roku TV - Black"",""type"":""HardGood"",""price"":199.99,""upc"":""600603184512"",""category"":[{""id"":""abcat0100000"",""name"":""TV & Home Theater""},{""id"":""abcat0101000"",""name"":""TVs""},{""id"":""abcat0101001"",""name"":""All Flat-Panel TVs""}],""shipping"":0,""description"":""1080p resolutionSmart TV, Built-in Roku smart platform, Roku Search"",""manufacturer"":""Insignia™"",""model"":""NS-32DR420NA16"",""url"":""http://www.bestbuy.com/site/insignia-32-class-31-5-diag--led-1080p-smart-hdtv-roku-tv-black/1242815.p?id=1219481187367&skuId=1242815&cmp=RMXCC"",""image"":""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242815_sa.jpg""}","2017-11-15T23:08:24.000+0000","abcat0100000
abcat0101000
abcat0101001","TV & Home Theater
TVs
All Flat-Panel TVs","1080p resolutionSmart TV, Built-in Roku smart platform, Roku Search",,"{""sku""","abcat0101000"",""name","TVs""},{""id","abcat0101001"",""name","All Flat-Panel TVs""}],""shipping","0,""description""","1080p resolutionSmart TV, Built-in Roku smart platform, Roku Search"",""manufacturer","Insignia™"",""model","NS-32DR420NA16"",""url","http://www.bestbuy.com/site/insignia-32-class-31-5-diag--led-1080p-smart-hdtv-roku-tv-black/1242815.p?id=1219481187367&skuId=1242815&cmp=RMXCC"",""image","""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242815_sa.jpg""}","1242815,""name""",,,"Insignia™ - 32"" Class (31.5"" Diag.) - LED - 1080p - Smart - HDTV Roku TV - Black"",""type","HardGood"",""price","199.99,""upc""","600603184512"",""category","[{""id""","abcat0100000"",""name","TV & Home Theater""},{""id","prd-p-3kt6px5jvk2t","http://img.bbystatic.com/BestBuy_US/images/products/1242/1242815_sa.jpg",main,1,"Insignia™","NS-32DR420NA16","Insignia™ - 32"" Class (31.5"" Diag.) - LED - 1080p - Smart - HDTV Roku TV - Black","199.99","{"""":,"""":""_-_\""__(.\""_.)_-__-__-__-____-_"","""":"""",""""",0,1242815,"products.json","_json","prd-p-3kt6px5jvk2t",,,,none,HardGood,600603184512,"http://www.bestbuy.com/site/insignia-32-class-31-5-diag--led-1080p-smart-hdtv-roku-tv-black/1242815.p?id=1219481187367&skuId=1242815&cmp=RMXCC"
"{""sku"":1242348,""name"":""Northwest - Electric Fireplace - Brown"",""type"":""HardGood"",""price"":199.99,""upc"":""886511511828"",""category"":[{""id"":""abcat0900000"",""name"":""Appliances""},{""id"":""pcmcat302300050021"",""name"":""Heating, Cooling & Air Quality""},{""id"":""pcmcat268100050002"",""name"":""Fireplaces""},{""id"":""pcmcat331100050001"",""name"":""Electric Fireplaces""}],""shipping"":0,""description"":""NORTHWEST Electric Fireplace: Heats rooms up to 700 sq. ft.; remote; 2 heat settings; adjustable flame brightness; safety thermal cut-off device"",""manufacturer"":""Northwest"",""model"":""80-EF422S"",""url"":""http://www.bestbuy.com/site/northwest-electric-fireplace-brown/1242348.p?id=1219481185962&skuId=1242348&cmp=RMXCC"",""image"":""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242348_sa.jpg""}","2017-11-15T23:08:24.000+0000","abcat0900000
pcmcat302300050021
pcmcat268100050002
pcmcat331100050001","Appliances
Heating, Cooling & Air Quality
Fireplaces
Electric Fireplaces","NORTHWEST Electric Fireplace: Heats rooms up to 700 sq. ft.; remote; 2 heat settings; adjustable flame brightness; safety thermal cut-off device",,"{""sku""","pcmcat302300050021"",""name","Heating, Cooling & Air Quality""},{""id","pcmcat268100050002"",""name","Fireplaces""},{""id","pcmcat331100050001"",""name","Electric Fireplaces""}],""shipping","0,""description""","NORTHWEST Electric Fireplace: Heats rooms up to 700 sq. ft.; remote; 2 heat settings; adjustable flame brightness; safety thermal cut-off device"",""manufacturer","Northwest"",""model","80-EF422S"",""url","1242348,""name""","http://www.bestbuy.com/site/northwest-electric-fireplace-brown/1242348.p?id=1219481185962&skuId=1242348&cmp=RMXCC"",""image","""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242348_sa.jpg""}","Northwest - Electric Fireplace - Brown"",""type","HardGood"",""price","199.99,""upc""","886511511828"",""category","[{""id""","abcat0900000"",""name","Appliances""},{""id","prd-p-3kt6px5jvk2t","http://img.bbystatic.com/BestBuy_US/images/products/1242/1242348_sa.jpg",main,1,Northwest,"80-EF422S","Northwest - Electric Fireplace - Brown","199.99","{"""":,"""":""_-___-_"","""":"""","""":.,"""":"""","""":[{"""":"""","""":""",0,1242348,"products.json","_json","prd-p-3kt6px5jvk2t",,,,none,HardGood,886511511828,"http://www.bestbuy.com/site/northwest-electric-fireplace-brown/1242348.p?id=1219481185962&skuId=1242348&cmp=RMXCC"
"{""sku"":1242339,""name"":""Northwest - Electric Fireplace - Black"",""type"":""HardGood"",""price"":169.99,""upc"":""886511511842"",""category"":[{""id"":""abcat0900000"",""name"":""Appliances""},{""id"":""pcmcat302300050021"",""name"":""Heating, Cooling & Air Quality""},{""id"":""pcmcat268100050002"",""name"":""Fireplaces""},{""id"":""pcmcat331100050001"",""name"":""Electric Fireplaces""}],""shipping"":0,""description"":""NORTHWEST Electric Fireplace: Heats rooms up to 700 sq. ft.; remote; 2 heat settings; adjustable flame brightness; safety thermal cut-off device"",""manufacturer"":""Northwest"",""model"":""80-EF455S"",""url"":""http://www.bestbuy.com/site/northwest-electric-fireplace-black/1242339.p?id=1219481185829&skuId=1242339CC"",""image"":""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242339_sa.jpg""}","2017-11-15T23:08:24.000+0000","abcat0900000
pcmcat302300050021
pcmcat268100050002
pcmcat331100050001","Appliances
Heating, Cooling & Air Quality
Fireplaces
Electric Fireplaces","NORTHWEST Electric Fireplace: Heats rooms up to 700 sq. ft.; remote; 2 heat settings; adjustable flame brightness; safety thermal cut-off device",,"{""sku""","pcmcat302300050021"",""name","Heating, Cooling & Air Quality""},{""id","pcmcat268100050002"",""name","Fireplaces""},{""id","pcmcat331100050001"",""name","Electric Fireplaces""}],""shipping","0,""description""","NORTHWEST Electric Fireplace: Heats rooms up to 700 sq. ft.; remote; 2 heat settings; adjustable flame brightness; safety thermal cut-off device"",""manufacturer","Northwest"",""model","80-EF455S"",""url","1242339,""name""","http://www.bestbuy.com/site/northwest-electric-fireplace-black/1242339.p?id=1219481185829&skuId=1242339CC"",""image","""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242339_sa.jpg""}","Northwest - Electric Fireplace - Black"",""type","HardGood"",""price","169.99,""upc""","886511511842"",""category","[{""id""","abcat0900000"",""name","Appliances""},{""id","prd-p-3kt6px5jvk2t","http://img.bbystatic.com/BestBuy_US/images/products/1242/1242339_sa.jpg",main,1,Northwest,"80-EF455S","Northwest - Electric Fireplace - Black","169.99","{"""":,"""":""_-___-_"","""":"""","""":.,"""":"""","""":[{"""":"""","""":""",0,1242339,"products.json","_json","prd-p-3kt6px5jvk2t",,,,none,HardGood,886511511842,"http://www.bestbuy.com/site/northwest-electric-fireplace-black/1242339.p?id=1219481185829&skuId=1242339CC"
"{""sku"":1242298,""name"":""Northwest - Electric Fireplace - Black"",""type"":""HardGood"",""price"":169.99,""upc"":""886511511835"",""category"":[{""id"":""abcat0900000"",""name"":""Appliances""},{""id"":""pcmcat302300050021"",""name"":""Heating, Cooling & Air Quality""},{""id"":""pcmcat268100050002"",""name"":""Fireplaces""},{""id"":""pcmcat331100050001"",""name"":""Electric Fireplaces""}],""shipping"":0,""description"":""NORTHWEST Electric Fireplace: Heats rooms up to 700 sq. ft.; remote; 2 heat settings; adjustable flame brightness; safety thermal cut-off device"",""manufacturer"":""Northwest"",""model"":""80-EF451S"",""url"":""http://www.bestbuy.com/site/northwest-electric-fireplace-black/1242298.p?id=1219481187564&skuId=1242298CC"",""image"":""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242298_sa.jpg""}","2017-11-15T23:08:24.000+0000","abcat0900000
pcmcat302300050021
pcmcat268100050002
pcmcat331100050001","Appliances
Heating, Cooling & Air Quality
Fireplaces
Electric Fireplaces","NORTHWEST Electric Fireplace: Heats rooms up to 700 sq. ft.; remote; 2 heat settings; adjustable flame brightness; safety thermal cut-off device",,"{""sku""","pcmcat302300050021"",""name","Heating, Cooling & Air Quality""},{""id","pcmcat268100050002"",""name","Fireplaces""},{""id","pcmcat331100050001"",""name","Electric Fireplaces""}],""shipping","0,""description""","NORTHWEST Electric Fireplace: Heats rooms up to 700 sq. ft.; remote; 2 heat settings; adjustable flame brightness; safety thermal cut-off device"",""manufacturer","Northwest"",""model","80-EF451S"",""url","1242298,""name""","http://www.bestbuy.com/site/northwest-electric-fireplace-black/1242298.p?id=1219481187564&skuId=1242298CC"",""image","""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242298_sa.jpg""}","Northwest - Electric Fireplace - Black"",""type","HardGood"",""price","169.99,""upc""","886511511835"",""category","[{""id""","abcat0900000"",""name","Appliances""},{""id","prd-p-3kt6px5jvk2t","http://img.bbystatic.com/BestBuy_US/images/products/1242/1242298_sa.jpg",main,1,Northwest,"80-EF451S","Northwest - Electric Fireplace - Black","169.99","{"""":,"""":""_-___-_"","""":"""","""":.,"""":"""","""":[{"""":"""","""":""",0,1242298,"products.json","_json","prd-p-3kt6px5jvk2t",,,,none,HardGood,886511511835,"http://www.bestbuy.com/site/northwest-electric-fireplace-black/1242298.p?id=1219481187564&skuId=1242298CC"
"{""sku"":1242192,""name"":""Brother - Label Maker - White/Light Gray"",""type"":""HardGood"",""price"":89.99,""upc"":""012502638827"",""category"":[{""id"":""pcmcat312300050015"",""name"":""Connected Home & Housewares""},{""id"":""abcat0805000"",""name"":""Office Electronics""},{""id"":""abcat0805005"",""name"":""Labelers & Accessories""},{""id"":""pcmcat339800050000"",""name"":""Labelers""}],""shipping"":0,""description"":""BROTHER Label Maker: Easy-type keyboard; top-loading tape design; graphical display; includes AC adapter; up to 5 lines of text and graphics; built-in templates; 50-file memory"",""manufacturer"":""Brother"",""model"":""PT-D400VP"",""url"":""http://www.bestbuy.com/site/brother-label-maker-white-light-gray/1242192.p?id=1219481186980&skuId=1242192&cmp=RMXCC"",""image"":""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242192_sa.jpg""}","2017-11-15T23:08:24.000+0000","pcmcat312300050015
abcat0805000
abcat0805005
pcmcat339800050000","Connected Home & Housewares
Office Electronics
Labelers & Accessories
Labelers","BROTHER Label Maker: Easy-type keyboard; top-loading tape design; graphical display; includes AC adapter; up to 5 lines of text and graphics; built-in templates; 50-file memory",,"{""sku""","abcat0805000"",""name","Office Electronics""},{""id","abcat0805005"",""name","Labelers & Accessories""},{""id","pcmcat339800050000"",""name","Labelers""}],""shipping","0,""description""","BROTHER Label Maker: Easy-type keyboard; top-loading tape design; graphical display; includes AC adapter; up to 5 lines of text and graphics; built-in templates; 50-file memory"",""manufacturer","Brother"",""model","PT-D400VP"",""url","1242192,""name""","http://www.bestbuy.com/site/brother-label-maker-white-light-gray/1242192.p?id=1219481186980&skuId=1242192&cmp=RMXCC"",""image","""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242192_sa.jpg""}","Brother - Label Maker - White/Light Gray"",""type","HardGood"",""price","89.99,""upc""","012502638827"",""category","[{""id""","pcmcat312300050015"",""name","Connected Home & Housewares""},{""id","prd-p-3kt6px5jvk2t","http://img.bbystatic.com/BestBuy_US/images/products/1242/1242192_sa.jpg",main,1,Brother,"PT-D400VP","Brother - Label Maker - White/Light Gray","89.99","{"""":,"""":""_-___-_/_"","""":"""","""":.,"""":"""","""":[{"""":"""",""""",0,1242192,"products.json","_json","prd-p-3kt6px5jvk2t",,,,none,HardGood,012502638827,"http://www.bestbuy.com/site/brother-label-maker-white-light-gray/1242192.p?id=1219481186980&skuId=1242192&cmp=RMXCC"
"{""sku"":1242183,""name"":""Brother - Desktop Label Maker - White/Light Gray"",""type"":""HardGood"",""price"":59.99,""upc"":""012502638810"",""category"":[{""id"":""pcmcat312300050015"",""name"":""Connected Home & Housewares""},{""id"":""abcat0805000"",""name"":""Office Electronics""},{""id"":""abcat0805005"",""name"":""Labelers & Accessories""},{""id"":""pcmcat339800050000"",""name"":""Labelers""}],""shipping"":0,""description"":""BROTHER Desktop Label Maker: Large keyboard; one-touch keys; graphic display; top-loading design; creates labels with up to 5 lines of text and graphics; built-in templates; 50-file memory; compatible with 0.13\"", 0.23\"", 0.35\"", 0.47\"" and 0.7\"" labels"",""manufacturer"":""Brother"",""model"":""PT-D400AD"",""url"":""http://www.bestbuy.com/site/brother-desktop-label-maker-white-light-gray/1242183.p?id=1219481184410&skuId=1242183&cmp=RMXCC"",""image"":""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242183_sa.jpg""}","2017-11-15T23:08:24.000+0000","pcmcat312300050015
abcat0805000
abcat0805005
pcmcat339800050000","Connected Home & Housewares
Office Electronics
Labelers & Accessories
Labelers","BROTHER Desktop Label Maker: Large keyboard; one-touch keys; graphic display; top-loading design; creates labels with up to 5 lines of text and graphics; built-in templates; 50-file memory; compatible with 0.13"", 0.23"", 0.35"", 0.47"" and 0.7"" labels",,"{""sku""","abcat0805000"",""name","Office Electronics""},{""id","abcat0805005"",""name","Labelers & Accessories""},{""id","pcmcat339800050000"",""name","Labelers""}],""shipping","0,""description""","BROTHER Desktop Label Maker: Large keyboard; one-touch keys; graphic display; top-loading design; creates labels with up to 5 lines of text and graphics; built-in templates; 50-file memory; compatible with 0.13"", 0.23"", 0.35"", 0.47"" and 0.7"" labels"",""manufacturer","Brother"",""model","PT-D400AD"",""url","1242183,""name""","http://www.bestbuy.com/site/brother-desktop-label-maker-white-light-gray/1242183.p?id=1219481184410&skuId=1242183&cmp=RMXCC"",""image","""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242183_sa.jpg""}","Brother - Desktop Label Maker - White/Light Gray"",""type","HardGood"",""price","59.99,""upc""","012502638810"",""category","[{""id""","pcmcat312300050015"",""name","Connected Home & Housewares""},{""id","prd-p-3kt6px5jvk2t","http://img.bbystatic.com/BestBuy_US/images/products/1242/1242183_sa.jpg",main,1,Brother,"PT-D400AD","Brother - Desktop Label Maker - White/Light Gray","59.99","{"""":,"""":""_-____-_/_"","""":"""","""":.,"""":"""","""":[{"""":"""",""",0,1242183,"products.json","_json","prd-p-3kt6px5jvk2t",,,,none,HardGood,012502638810,"http://www.bestbuy.com/site/brother-desktop-label-maker-white-light-gray/1242183.p?id=1219481184410&skuId=1242183&cmp=RMXCC"
"{""sku"":1242174,""name"":""Brother - MFC-J4320DW Wireless All-In-One Printer - Black/Gray"",""type"":""HardGood"",""price"":149.99,""upc"":""012502637677"",""category"":[{""id"":""pcmcat312300050015"",""name"":""Connected Home & Housewares""},{""id"":""abcat0805000"",""name"":""Office Electronics""},{""id"":""abcat0511001"",""name"":""Printers, Ink & Toner""},{""id"":""pcmcat266500050030"",""name"":""All Printers""},{""id"":""abcat0511002"",""name"":""Inkjet Printers""},{""id"":""pcmcat335400050003"",""name"":""Color Inkjet Printers""}],""shipping"":0,""description"":""4-in-1 functionalityBuilt-in wireless LAN (802.11b/g/n)Prints up to 20 ISO ppm in black, up to 18 ISO ppm in color (Print speeds vary with use. See mfg. for info on print speeds.)150-sheet tray2.7\"" touch screen"",""manufacturer"":""Brother"",""model"":""MFC-J4320DW"",""url"":""http://www.bestbuy.com/site/brother-mfc-j4320dw-wireless-all-in-one-printer-black-gray/1242174.p?id=1219481187884&skuId=1242174&cmp=RMXCC"",""image"":""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242174_sa.jpg""}","2017-11-15T23:08:24.000+0000","pcmcat312300050015
abcat0805000
abcat0511001
pcmcat266500050030
abcat0511002
pcmcat335400050003","Connected Home & Housewares
Office Electronics
Printers, Ink & Toner
All Printers
Inkjet Printers
Color Inkjet Printers","4-in-1 functionalityBuilt-in wireless LAN (802.11b/g/n)Prints up to 20 ISO ppm in black, up to 18 ISO ppm in color (Print speeds vary with use. See mfg. for info on print speeds.)150-sheet tray2.7"" touch screen",,"{""sku""","abcat0805000"",""name","Office Electronics""},{""id","abcat0511001"",""name","Printers, Ink & Toner""},{""id","pcmcat266500050030"",""name","All Printers""},{""id","abcat0511002"",""name","Inkjet Printers""},{""id","pcmcat335400050003"",""name","Color Inkjet Printers""}],""shipping","1242174,""name""","0,""description""","4-in-1 functionalityBuilt-in wireless LAN (802.11b/g/n)Prints up to 20 ISO ppm in black, up to 18 ISO ppm in color (Print speeds vary with use. See mfg. for info on print speeds.)150-sheet tray2.7"" touch screen"",""manufacturer","Brother - MFC-J4320DW Wireless All-In-One Printer - Black/Gray"",""type","HardGood"",""price","149.99,""upc""","012502637677"",""category","[{""id""","pcmcat312300050015"",""name","Connected Home & Housewares""},{""id","prd-p-3kt6px5jvk2t","http://img.bbystatic.com/BestBuy_US/images/products/1242/1242174_sa.jpg",main,1,Brother,"MFC-J4320DW","Brother - MFC-J4320DW Wireless All-In-One Printer - Black/Gray","149.99","{"""":,"""":""_-_-__--__-_/"","""":"""","""":.,"""":"""","""":[{"""":""",0,1242174,"products.json","_json","prd-p-3kt6px5jvk2t",,,,none,HardGood,012502637677,"http://www.bestbuy.com/site/brother-mfc-j4320dw-wireless-all-in-one-printer-black-gray/1242174.p?id=1219481187884&skuId=1242174&cmp=RMXCC"
"{""sku"":1242165,""name"":""Blue Hat Toy Company - Black Series Cyber Boxing RC Robots - Black/Blue/Red"",""type"":""HardGood"",""price"":49.99,""upc"":""694202310267"",""category"":[{""id"":""pcmcat252700050006"",""name"":""Toys, Games & Drones""},{""id"":""pcmcat338300050001"",""name"":""Robots & Robotic Kits""}],""shipping"":0,""description"":""BLUE HAT TOY COMPANY Black Series Cyber Boxing RC Robots: Performs hooks and power jabs; full-motion arms; nested wheels; includes 2 robots and 2 remotes"",""manufacturer"":""Blue Hat Toy Company"",""model"":""16476970042"",""url"":""http://www.bestbuy.com/site/blue-hat-toy-company-black-series-cyber-boxing-rc-robots-black-blue-red/1242165.p?id=1219481184404&skuId=1242165CC"",""image"":""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242165_sa.jpg""}","2017-11-15T23:08:24.000+0000","pcmcat252700050006
pcmcat338300050001","Toys, Games & Drones
Robots & Robotic Kits","BLUE HAT TOY COMPANY Black Series Cyber Boxing RC Robots: Performs hooks and power jabs; full-motion arms; nested wheels; includes 2 robots and 2 remotes",,"{""sku""","pcmcat338300050001"",""name","Robots & Robotic Kits""}],""shipping","0,""description""","BLUE HAT TOY COMPANY Black Series Cyber Boxing RC Robots: Performs hooks and power jabs; full-motion arms; nested wheels; includes 2 robots and 2 remotes"",""manufacturer","Blue Hat Toy Company"",""model","16476970042"",""url","http://www.bestbuy.com/site/blue-hat-toy-company-black-series-cyber-boxing-rc-robots-black-blue-red/1242165.p?id=1219481184404&skuId=1242165CC"",""image","""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242165_sa.jpg""}",,,"1242165,""name""",,,"Blue Hat Toy Company - Black Series Cyber Boxing RC Robots - Black/Blue/Red"",""type","HardGood"",""price","49.99,""upc""","694202310267"",""category","[{""id""","pcmcat252700050006"",""name","Toys, Games & Drones""},{""id","prd-p-3kt6px5jvk2t","http://img.bbystatic.com/BestBuy_US/images/products/1242/1242165_sa.jpg",main,1,"Blue Hat Toy Company",16476970042,"Blue Hat Toy Company - Black Series Cyber Boxing RC Robots - Black/Blue/Red","49.99","{"""":,"""":""____-_______-_//"","""":"""","""":.,"""":"""","""":[{""",0,1242165,"products.json","_json","prd-p-3kt6px5jvk2t",,,,none,HardGood,694202310267,"http://www.bestbuy.com/site/blue-hat-toy-company-black-series-cyber-boxing-rc-robots-black-blue-red/1242165.p?id=1219481184404&skuId=1242165CC"
"{""sku"":1242156,""name"":""Black Series - Remote-Controlled Racing Motorcycle - Matte Black"",""type"":""HardGood"",""price"":24.99,""upc"":""694202314111"",""category"":[{""id"":""pcmcat252700050006"",""name"":""Toys, Games & Drones""},{""id"":""abcat0714014"",""name"":""Remote Control Toys""},{""id"":""pcmcat274100050005"",""name"":""Remote Control Cars & Trucks""}],""shipping"":6.49,""description"":""BLACK SERIES Remote-Controlled Racing Motorcycle: Self-standing design; rubber grip tires; 45-degree leaning; multidirectional control; suitable for children ages 6 and up"",""manufacturer"":""Black Series"",""model"":""29030130042"",""url"":""http://www.bestbuy.com/site/black-series-remote-controlled-racing-motorcycle-matte-black/1242156.p?id=1219481186538&skuId=1242156&cmp=RMXCC"",""image"":""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242156_sa.jpg""}","2017-11-15T23:08:24.000+0000","pcmcat252700050006
abcat0714014
pcmcat274100050005","Toys, Games & Drones
Remote Control Toys
Remote Control Cars & Trucks","BLACK SERIES Remote-Controlled Racing Motorcycle: Self-standing design; rubber grip tires; 45-degree leaning; multidirectional control; suitable for children ages 6 and up",,"{""sku""","abcat0714014"",""name","Remote Control Toys""},{""id","pcmcat274100050005"",""name","Remote Control Cars & Trucks""}],""shipping","6.49,""description""","BLACK SERIES Remote-Controlled Racing Motorcycle: Self-standing design; rubber grip tires; 45-degree leaning; multidirectional control; suitable for children ages 6 and up"",""manufacturer","Black Series"",""model","29030130042"",""url","http://www.bestbuy.com/site/black-series-remote-controlled-racing-motorcycle-matte-black/1242156.p?id=1219481186538&skuId=1242156&cmp=RMXCC"",""image","""http://img.bbystatic.com/BestBuy_US/images/products/1242/1242156_sa.jpg""}","1242156,""name""",,,"Black Series - Remote-Controlled Racing Motorcycle - Matte Black"",""type","HardGood"",""price","24.99,""upc""","694202314111"",""category","[{""id""","pcmcat252700050006"",""name","Toys, Games & Drones""},{""id","prd-p-3kt6px5jvk2t","http://img.bbystatic.com/BestBuy_US/images/products/1242/1242156_sa.jpg",main,1,"Black Series",29030130042,"Black Series - Remote-Controlled Racing Motorcycle - Matte Black","24.99","{"""":,"""":""__-_-___-__"","""":"""","""":.,"""":"""","""":[{"""":"""",","6.49",1242156,"products.json","_json","prd-p-3kt6px5jvk2t",,,,none,HardGood,694202314111,"http://www.bestbuy.com/site/black-series-remote-controlled-racing-motorcycle-matte-black/1242156.p?id=1219481186538&skuId=1242156&cmp=RMXCC"
